Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,FarePerPerson,Sex_male,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Deck_Unknown,AgeGroup_Adult,Fare_log
0,3,22.0,1,0,7.25,2,3.625,True,True,False,True,False,True,True,2.1102132003465894
1,1,38.0,1,0,71.2833,2,35.64165,False,False,False,False,True,False,True,4.2805931204649
1,3,26.0,0,0,7.925,1,7.925,False,True,True,False,False,True,True,2.188856327665703
1,1,35.0,1,0,53.1,2,26.55,False,True,False,False,True,False,True,3.9908341858524357
0,3,35.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,28.0,0,0,8.4583,1,8.4583,True,False,False,True,False,True,True,2.246892662898172
0,1,54.0,0,0,51.8625,1,51.8625,True,True,False,True,False,False,True,3.967694202798607
0,3,2.0,3,1,21.075,5,4.215,True,True,False,False,False,True,False,3.0944457464900235
1,3,27.0,0,2,11.1333,3,3.7111,False,True,False,False,True,True,True,2.495953738718064
1,2,14.0,1,0,30.0708,2,15.0354,False,False,False,False,True,True,False,3.436268471383741
1,3,4.0,1,1,16.7,3,5.566666666666666,False,True,True,False,False,False,False,2.8735646395797834
1,1,58.0,0,0,26.55,1,26.55,False,True,True,False,False,False,True,3.3160025355989236
0,3,20.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,39.0,1,5,31.275,7,4.4678571428571425,True,True,False,True,False,True,True,3.4742929367327062
0,3,14.0,0,0,7.8542,1,7.8542,False,True,True,False,False,True,False,2.180891922715322
1,2,55.0,0,0,16.0,1,16.0,False,True,False,False,True,True,True,2.833213344056216
0,3,2.0,4,1,29.125,6,4.854166666666667,True,False,False,False,False,True,False,3.405355391810819
1,2,28.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
0,3,31.0,1,0,18.0,2,9.0,False,True,False,False,True,True,True,2.9444389791664403
1,3,28.0,0,0,7.225,1,7.225,False,False,False,False,True,True,True,2.1071782966514356
0,2,35.0,0,0,26.0,1,26.0,True,True,False,True,False,True,True,3.295836866004329
1,2,34.0,0,0,13.0,1,13.0,True,True,False,True,False,False,True,2.6390573296152584
1,3,15.0,0,0,8.0292,1,8.0292,False,False,True,False,False,True,False,2.2004637699272855
1,1,28.0,0,0,35.5,1,35.5,True,True,False,True,False,False,True,3.597312260588446
0,3,8.0,3,1,21.075,5,4.215,False,True,True,False,False,True,False,3.0944457464900235
1,3,38.0,1,5,31.3875,7,4.483928571428572,False,True,False,False,True,True,True,3.4777725458882283
0,3,28.0,0,0,7.225,1,7.225,True,False,False,True,False,True,True,2.1071782966514356
0,1,19.0,3,2,249.00622000000035,6,41.50103666666673,True,True,False,True,False,False,True,5.521485797552746
1,3,28.0,0,0,7.8792,1,7.8792,False,False,True,False,False,True,True,2.1837114628556327
0,3,28.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
0,1,40.0,0,0,27.7208,1,27.7208,True,False,False,False,False,True,True,3.357621598945279
1,1,28.0,1,0,146.5208,2,73.2604,False,False,False,False,True,False,True,4.993969182787072
1,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
